location,goods,price,price_factors,supply_volume,quality_grade,record_date
Badagry,Onions,550.34,Demand Surge,Scarce,Grade A (Fresh),2023-05-17
Bodija,Beans,631.49,Transportation Cost,Moderate,Grade A (Fresh),2023-12-22
Agbowo,Cucumber,264.42,Seasonal Availability,High,Grade C (Below Average),2023-11-18
Dugbe,Spinach,471.72,Exchange Rate Fluctuation,High,Grade B (Average),2024-01-09
Ring Road (Central Ibadan),Pineapple,1193.79,Market Competition,High,Grade A (Fresh),2023-08-03
Alimosho,Maize,488.28,Market Competition,Scarce,Grade A (Fresh),2023-03-30
Sango,Lettuce,346.59,Seasonal Availability,Low,Grade C (Below Average),2023-04-07
Badagry,Cabbage,645.2,Market Competition,Scarce,Grade A (Fresh),2023-02-13
Bodija,Garlic,2741.3,Weather Conditions,Moderate,Grade A (Fresh),2023-09-06
Oke Bola,Tomatoes,1070.36,Transportation Cost,High,Grade C (Below Average),2023-12-21
Bodija,Cucumber,106.98,Market Competition,Low,Grade B (Average),2024-02-11
Agbowo,Onions,657.0,Storage Limitations,High,Grade A (Fresh),2023-01-25
Anthony Village,Banana,403.86,Seasonal Availability,High,Grade A (Fresh),2023-08-19
Egbeda,Garlic,3947.44,Fuel Price Hike,Low,Grade B (Average),2023-05-22
Festac Town,Pineapple,922.04,Market Competition,Moderate,Grade A (Fresh),2023-08-16
Oke Bola,Sweet Potatoes,782.42,Demand Surge,High,Grade B (Average),2024-02-05
Apapa,Onions,662.27,Government Policies,High,Grade A (Fresh),2023-05-06
Mokola,Beans,788.32,Storage Limitations,High,Grade A (Fresh),2024-01-23
Orita-Challenge,Onions,359.28,Transportation Cost,High,Grade B (Average),2023-12-29
Ojoo,Plantain,242.69,Pest/Disease Outbreak,High,Grade A (Fresh),2023-09-23
Apapa,Watermelon,3514.56,Fuel Price Hike,Low,Grade A (Fresh),2023-04-02
Epe,Onions,540.69,Fuel Price Hike,High,Grade B (Average),2023-04-22
Maryland,Chicken (Live),3138.86,Transportation Cost,Low,Grade B (Average),2023-04-07
Oshodi,Ginger,2160.5,Weather Conditions,Moderate,Grade A (Fresh),2023-06-03
Alimosho,Fish (Fresh),4516.24,Transportation Cost,High,Grade B (Average),2024-01-07
Victoria Island (VI),Pepper,1422.42,Transportation Cost,Scarce,Grade B (Average),2023-01-14
Molete,Beans,1150.25,Seasonal Availability,Moderate,Grade B (Average),2024-03-07
Maryland,Pineapple,1169.78,Transportation Cost,Moderate,Grade A (Fresh),2023-08-02
Gbagada,Cucumber,662.29,Demand Surge,High,Grade B (Average),2024-01-11
Eleyele,Carrots,407.91,Weather Conditions,Low,Grade C (Below Average),2023-07-22
Ijegun,Watermelon,794.42,Weather Conditions,Low,Grade C (Below Average),2023-12-25
Victoria Island (VI),Onions,201.7,Government Policies,Moderate,Grade C (Below Average),2023-05-03
Orita-Challenge,Okra,371.45,Weather Conditions,Moderate,Grade A (Fresh),2024-01-09
Lekki,Garlic,3833.87,Fuel Price Hike,Scarce,Grade B (Average),2023-12-12
UI (University of Ibadan),Tomatoes,613.77,Government Policies,High,Grade B (Average),2024-01-29
Ojodu,Onions,881.18,Demand Surge,Moderate,Grade A (Fresh),2024-01-25
Magodo,Pepper,841.98,Demand Surge,Moderate,Grade A (Fresh),2024-01-24
Ojoo,Maize,319.5,Market Competition,Low,Grade A (Fresh),2023-11-16
Eleyele,Watermelon,1114.84,Transportation Cost,High,Grade A (Fresh),2023-04-07
Festac Town,Oranges,220.1,Seasonal Availability,High,Grade B (Average),2023-05-31
Ogba,Cucumber,432.18,Pest/Disease Outbreak,High,Grade B (Average),2023-03-23
Gbagada,Watermelon,1336.56,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-06-29
Oke Bola,Cabbage,826.25,Fuel Price Hike,Low,Grade A (Fresh),2023-11-08
Ikeja,Oranges,154.62,Transportation Cost,High,Grade A (Fresh),2023-07-14
Agege,Lettuce,594.33,Seasonal Availability,High,Grade A (Fresh),2023-01-24
Iwo Road,Oranges,219.52,Storage Limitations,High,Grade A (Fresh),2023-03-31
Ijegun,Onions,284.51,Storage Limitations,Scarce,Grade A (Fresh),2024-02-04
Ogba,Okra,1355.27,Fuel Price Hike,Moderate,Grade B (Average),2023-08-21
Oke Bola,Chicken (Live),3034.71,Exchange Rate Fluctuation,Scarce,Grade B (Average),2023-01-03
Agbowo,Fish (Fresh),3572.06,Weather Conditions,Low,Grade B (Average),2023-11-09
Monatan,Garlic,2491.72,Fuel Price Hike,High,Grade A (Fresh),2024-03-26
Ajah,Beans,721.62,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-11-08
Ogba,Beans,1244.87,Fuel Price Hike,Moderate,Grade A (Fresh),2024-01-26
Mokola,Carrots,625.33,Market Competition,Moderate,Grade A (Fresh),2023-04-21
Maryland,Beans,1206.16,Weather Conditions,High,Grade A (Fresh),2023-11-14
Agodi GRA,Spinach,311.49,Demand Surge,High,Grade B (Average),2023-10-17
Oke Bola,Fish (Fresh),4600.18,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-05-18
Alimosho,Pineapple,1135.64,Storage Limitations,Low,Grade A (Fresh),2024-03-23
Yaba,Spinach,305.22,Market Competition,Moderate,Grade A (Fresh),2023-07-30
UI (University of Ibadan),Lettuce,737.65,Pest/Disease Outbreak,Low,Grade A (Fresh),2024-03-11
Orita-Challenge,Rice,1774.99,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-12-06
Surulere,Potatoes,391.09,Weather Conditions,High,Grade A (Fresh),2024-01-16
Ologuneru,Watermelon,1360.08,Transportation Cost,High,Grade C (Below Average),2023-10-27
Agege,Lettuce,283.9,Transportation Cost,Scarce,Grade A (Fresh),2023-11-14
Ojodu,Maize,553.25,Storage Limitations,Moderate,Grade A (Fresh),2023-04-12
Dugbe,Ginger,2310.65,Fuel Price Hike,Moderate,Grade B (Average),2023-06-27
Magodo,Potatoes,627.48,Transportation Cost,High,Grade B (Average),2023-12-07
Orita-Challenge,Plantain,744.61,Market Competition,High,Grade A (Fresh),2023-05-17
Ketu,Chicken (Live),6291.72,Fuel Price Hike,Low,Grade C (Below Average),2024-01-02
Ijegun,Sweet Potatoes,224.53,Market Competition,Low,Grade B (Average),2023-07-04
Agodi GRA,Pepper,878.92,Government Policies,Moderate,Grade C (Below Average),2023-11-09
Ojoo,Cucumber,352.65,Government Policies,Moderate,Grade A (Fresh),2024-03-21
Festac Town,Potatoes,619.71,Fuel Price Hike,High,Grade A (Fresh),2023-11-12
Magodo,Garlic,2823.34,Weather Conditions,Low,Grade B (Average),2023-03-14
Challenge,Cabbage,348.75,Government Policies,Scarce,Grade A (Fresh),2023-06-06
Lekki,Yam,871.56,Transportation Cost,High,Grade A (Fresh),2024-01-22
Badagry,Cucumber,349.58,Exchange Rate Fluctuation,Low,Grade A (Fresh),2024-03-11
Ojoo,Pineapple,727.85,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-05-24
Ikorodu,Cabbage,1066.79,Demand Surge,Low,Grade A (Fresh),2023-10-09
Egbeda,Onions,306.05,Weather Conditions,Scarce,Grade A (Fresh),2023-06-10
Ologuneru,Mangoes,350.36,Storage Limitations,High,Grade A (Fresh),2023-08-19
Egbeda,Rice,885.06,Weather Conditions,High,Grade B (Average),2023-05-31
Victoria Island (VI),Spinach,216.32,Transportation Cost,Moderate,Grade A (Fresh),2023-06-09
Gbagada,Watermelon,2794.75,Fuel Price Hike,Moderate,Grade A (Fresh),2023-06-13
Ikeja,Watermelon,2268.76,Market Competition,Scarce,Grade A (Fresh),2023-06-12
Ikeja,Maize,534.32,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2023-09-09
UI (University of Ibadan),Cucumber,391.7,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-03-18
Egbeda,Okra,348.5,Transportation Cost,Moderate,Grade A (Fresh),2023-12-07
Molete,Carrots,325.75,Pest/Disease Outbreak,High,Grade A (Fresh),2023-05-19
Samonda,Chicken (Live),9592.38,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-01-22
Bashorun,Garlic,2474.58,Pest/Disease Outbreak,High,Grade A (Fresh),2023-04-17
Mushin,Oranges,195.33,Demand Surge,High,Grade A (Fresh),2023-07-02
Akobo,Ginger,3156.57,Demand Surge,High,Grade A (Fresh),2024-03-15
Bodija,Garlic,1049.04,Exchange Rate Fluctuation,High,Grade B (Average),2023-04-15
Molete,Okra,791.98,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-03-03
Ring Road (Central Ibadan),Carrots,531.37,Government Policies,Moderate,Grade A (Fresh),2024-01-23
Bashorun,Cabbage,372.8,Seasonal Availability,Moderate,Grade B (Average),2023-03-01
Ojoo,Oranges,251.96,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-06-17
UI (University of Ibadan),Cabbage,527.8,Fuel Price Hike,Moderate,Grade A (Fresh),2023-10-24
Egbeda,Mangoes,559.77,Market Competition,High,Grade B (Average),2023-04-13
Bodija,Rice,986.39,Fuel Price Hike,High,Grade A (Fresh),2023-09-06
Lekki,Cabbage,453.54,Seasonal Availability,Moderate,Grade A (Fresh),2024-03-08
Oke Bola,Beans,1164.59,Government Policies,Moderate,Grade A (Fresh),2023-12-01
Epe,Potatoes,490.65,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-04-22
Alimosho,Chicken (Live),3347.67,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-06-13
Sango,Lettuce,746.41,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-04-10
Monatan,Maize,626.27,Market Competition,High,Grade A (Fresh),2023-12-13
Challenge,Plantain,837.89,Transportation Cost,Scarce,Grade B (Average),2024-02-21
Ajah,Maize,317.34,Pest/Disease Outbreak,Low,Grade C (Below Average),2023-01-05
Ologuneru,Onions,406.18,Transportation Cost,High,Grade B (Average),2023-03-24
Ogba,Spinach,595.74,Fuel Price Hike,Moderate,Grade A (Fresh),2024-02-20
Ketu,Banana,470.78,Transportation Cost,Moderate,Grade C (Below Average),2023-01-09
Apata,Cucumber,366.97,Storage Limitations,Low,Grade B (Average),2023-05-03
Oshodi,Fish (Fresh),1397.51,Transportation Cost,High,Grade B (Average),2023-08-08
Ketu,Onions,878.71,Fuel Price Hike,Low,Grade B (Average),2023-04-07
Ikoyi,Potatoes,770.57,Transportation Cost,High,Grade A (Fresh),2023-11-17
Oke Bola,Onions,263.92,Transportation Cost,Low,Grade B (Average),2024-03-26
Apapa,Maize,302.3,Government Policies,High,Grade A (Fresh),2023-03-31
Ijegun,Okra,476.95,Market Competition,Moderate,Grade B (Average),2024-01-08
Ketu,Onions,978.98,Demand Surge,High,Grade B (Average),2023-08-13
Bashorun,Pineapple,780.89,Transportation Cost,Low,Grade A (Fresh),2023-06-26
Alimosho,Mangoes,498.6,Weather Conditions,High,Grade A (Fresh),2023-05-11
Agodi GRA,Lettuce,292.81,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2023-07-30
Mushin,Onions,266.38,Government Policies,High,Grade B (Average),2024-02-20
Ologuneru,Garlic,1490.63,Transportation Cost,Low,Grade A (Fresh),2023-07-06
Egbeda,Mangoes,163.49,Fuel Price Hike,High,Grade A (Fresh),2023-09-30
Samonda,Okra,559.89,Market Competition,High,Grade A (Fresh),2023-01-02
Orita-Challenge,Yam,718.54,Fuel Price Hike,Moderate,Grade C (Below Average),2023-09-06
Epe,Spinach,262.04,Exchange Rate Fluctuation,Low,Grade B (Average),2024-01-19
Apata,Chicken (Live),9934.62,Storage Limitations,Moderate,Grade B (Average),2023-05-28
Badagry,Onions,457.96,Transportation Cost,Moderate,Grade A (Fresh),2023-11-22
Monatan,Pepper,505.96,Market Competition,High,Grade A (Fresh),2023-10-09
Agodi GRA,Maize,206.4,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-08-11
Samonda,Lettuce,1188.35,Fuel Price Hike,High,Grade A (Fresh),2024-01-24
Magodo,Lettuce,617.81,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-05-07
Mokola,Lettuce,380.73,Market Competition,Scarce,Grade A (Fresh),2023-03-18
Anthony Village,Lettuce,223.33,Pest/Disease Outbreak,Low,Grade B (Average),2024-01-14
Festac Town,Maize,446.2,Transportation Cost,High,Grade A (Fresh),2023-06-25
Eleyele,Tomatoes,454.46,Government Policies,Moderate,Grade C (Below Average),2023-09-28
Samonda,Lettuce,407.85,Fuel Price Hike,Low,Grade A (Fresh),2024-01-29
Bodija,Tomatoes,1110.76,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-11-17
Bodija,Mangoes,347.22,Weather Conditions,High,Grade B (Average),2023-05-24
Jericho,Maize,714.76,Demand Surge,High,Grade A (Fresh),2023-10-05
Molete,Potatoes,853.33,Demand Surge,Moderate,Grade B (Average),2024-01-16
Bashorun,Oranges,66.09,Fuel Price Hike,Moderate,Grade A (Fresh),2024-02-25
Agodi GRA,Pepper,690.82,Storage Limitations,High,Grade A (Fresh),2023-05-08
Ologuneru,Yam,802.43,Government Policies,Low,Grade A (Fresh),2023-05-03
Ikoyi,Chicken (Live),4087.18,Storage Limitations,High,Grade A (Fresh),2023-02-13
Oke Ado,Garlic,1164.47,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-04-05
Ojoo,Carrots,601.0,Fuel Price Hike,Moderate,Grade B (Average),2023-09-22
Apapa,Cabbage,206.72,Government Policies,High,Grade A (Fresh),2023-11-14
Epe,Okra,582.27,Demand Surge,Low,Grade B (Average),2023-07-17
Ikoyi,Garlic,1067.82,Government Policies,High,Grade A (Fresh),2023-09-10
Ikoyi,Plantain,275.08,Seasonal Availability,Moderate,Grade A (Fresh),2024-03-09
Ojodu,Ginger,2015.04,Weather Conditions,High,Grade B (Average),2023-03-24
Ketu,Ginger,2140.71,Transportation Cost,Low,Grade A (Fresh),2023-01-16
Oke Ado,Maize,671.32,Exchange Rate Fluctuation,Scarce,Grade B (Average),2024-03-16
Ijegun,Banana,253.25,Transportation Cost,Moderate,Grade B (Average),2023-06-08
Bodija,Mangoes,566.47,Storage Limitations,Moderate,Grade A (Fresh),2023-04-05
Ijegun,Plantain,544.85,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-06-02
Alimosho,Onions,315.54,Storage Limitations,Moderate,Grade A (Fresh),2023-12-24
Lekki,Cucumber,216.07,Demand Surge,Scarce,Grade B (Average),2023-12-12
Mokola,Onions,313.04,Storage Limitations,Low,Grade B (Average),2023-11-28
Ikeja,Onions,757.06,Government Policies,High,Grade B (Average),2023-01-20
Badagry,Cucumber,282.99,Storage Limitations,High,Grade B (Average),2023-04-23
Bashorun,Lettuce,199.52,Seasonal Availability,High,Grade C (Below Average),2023-02-07
Challenge,Rice,1249.48,Storage Limitations,Scarce,Grade B (Average),2023-03-13
Ijegun,Cucumber,437.81,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-07-04
Agodi GRA,Chicken (Live),3663.44,Storage Limitations,High,Grade A (Fresh),2023-08-01
Oke Ado,Yam,2020.7,Demand Surge,High,Grade A (Fresh),2023-11-26
Agodi GRA,Garlic,2886.09,Exchange Rate Fluctuation,High,Grade B (Average),2024-01-10
Maryland,Banana,252.65,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-12-01
Surulere,Pepper,592.18,Transportation Cost,High,Grade A (Fresh),2023-10-18
Monatan,Oranges,205.91,Weather Conditions,Low,Grade B (Average),2023-02-23
Agodi GRA,Cucumber,297.19,Government Policies,Moderate,Grade A (Fresh),2023-04-07
Egbeda,Ginger,1934.7,Transportation Cost,High,Grade B (Average),2024-02-07
Sango,Garlic,2990.39,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-12-31
Ologuneru,Tomatoes,474.76,Fuel Price Hike,High,Grade A (Fresh),2023-01-09
Magodo,Potatoes,932.26,Fuel Price Hike,Low,Grade B (Average),2023-04-21
Ijegun,Banana,176.1,Transportation Cost,High,Grade A (Fresh),2023-05-07
Agodi GRA,Sweet Potatoes,399.75,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-03-31
Egbeda,Maize,342.97,Demand Surge,High,Grade B (Average),2023-01-08
Yaba,Oranges,286.49,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-12-14
Ojoo,Garlic,2230.67,Weather Conditions,Scarce,Grade A (Fresh),2023-04-28
Badagry,Maize,263.6,Seasonal Availability,Moderate,Grade A (Fresh),2024-03-21
Agodi GRA,Garlic,1294.88,Storage Limitations,Moderate,Grade A (Fresh),2023-11-27
Badagry,Tomatoes,733.95,Storage Limitations,High,Grade A (Fresh),2023-12-28
Sango,Plantain,608.44,Pest/Disease Outbreak,High,Grade A (Fresh),2024-01-19
Ikoyi,Rice,899.81,Weather Conditions,High,Grade A (Fresh),2023-04-11
Molete,Pineapple,362.18,Transportation Cost,Low,Grade C (Below Average),2023-03-29
Agodi GRA,Okra,386.04,Storage Limitations,High,Grade A (Fresh),2023-02-03
Ikeja,Watermelon,1418.36,Storage Limitations,Moderate,Grade B (Average),2023-10-10
Ajah,Cucumber,320.91,Demand Surge,Scarce,Grade B (Average),2023-05-08
Sango,Maize,609.24,Fuel Price Hike,Moderate,Grade A (Fresh),2024-03-28
Molete,Beans,1100.89,Storage Limitations,High,Grade A (Fresh),2023-05-25
Ring Road (Central Ibadan),Banana,362.82,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-07-21
Agege,Banana,314.59,Fuel Price Hike,Low,Grade A (Fresh),2023-08-06
Oshodi,Spinach,171.41,Fuel Price Hike,High,Grade B (Average),2024-01-25
Agbowo,Watermelon,3041.7,Demand Surge,High,Grade C (Below Average),2023-05-01
Bodija,Carrots,645.46,Market Competition,High,Grade B (Average),2024-02-11
Amuwo Odofin,Garlic,2951.61,Weather Conditions,Moderate,Grade A (Fresh),2023-08-05
Lekki,Lettuce,1029.34,Demand Surge,Moderate,Grade B (Average),2023-07-12
Ikorodu,Chicken (Live),8459.51,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-06-05
Ojodu,Watermelon,1228.4,Market Competition,Low,Grade B (Average),2023-01-21
Yaba,Mangoes,160.18,Fuel Price Hike,Low,Grade C (Below Average),2023-07-02
Eleyele,Pineapple,310.72,Pest/Disease Outbreak,High,Grade C (Below Average),2023-01-28
Gbagada,Beans,489.59,Weather Conditions,High,Grade B (Average),2024-03-15
Bodija,Cabbage,257.91,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-11-24
Badagry,Plantain,268.63,Seasonal Availability,Moderate,Grade A (Fresh),2024-03-14
Orita-Challenge,Pineapple,629.18,Pest/Disease Outbreak,Low,Grade B (Average),2023-04-10
Festac Town,Lettuce,251.48,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-02-02
Anthony Village,Carrots,992.37,Market Competition,Moderate,Grade A (Fresh),2023-06-20
Ogba,Maize,219.82,Market Competition,Scarce,Grade A (Fresh),2023-03-24
Eleyele,Cucumber,328.1,Transportation Cost,Moderate,Grade B (Average),2023-02-03
Dugbe,Garlic,1849.91,Weather Conditions,Moderate,Grade A (Fresh),2023-05-23
Bashorun,Oranges,123.59,Transportation Cost,High,Grade A (Fresh),2023-04-02
Anthony Village,Fish (Fresh),2100.98,Storage Limitations,Moderate,Grade A (Fresh),2023-07-26
Jericho,Oranges,272.23,Fuel Price Hike,Moderate,Grade A (Fresh),2023-08-20
Iwo Road,Banana,105.11,Weather Conditions,High,Grade B (Average),2023-07-23
Ijegun,Cucumber,178.92,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-06-03
Ojoo,Mangoes,542.33,Transportation Cost,High,Grade A (Fresh),2024-01-03
Oke Ado,Onions,565.04,Exchange Rate Fluctuation,Scarce,Grade B (Average),2023-10-22
Orita-Challenge,Lettuce,640.67,Transportation Cost,High,Grade A (Fresh),2023-12-26
Alimosho,Mangoes,145.33,Weather Conditions,High,Grade A (Fresh),2023-01-06
Alimosho,Cabbage,204.05,Transportation Cost,Moderate,Grade A (Fresh),2023-10-11
Jericho,Potatoes,922.8,Demand Surge,High,Grade A (Fresh),2023-01-30
Surulere,Plantain,1001.45,Fuel Price Hike,High,Grade B (Average),2023-03-14
Ojodu,Okra,391.72,Seasonal Availability,Low,Grade B (Average),2023-06-05
Oke Bola,Fish (Fresh),2020.99,Transportation Cost,Moderate,Grade A (Fresh),2023-07-06
Ogba,Fish (Fresh),4233.05,Transportation Cost,Scarce,Grade A (Fresh),2023-07-31
Apapa,Oranges,169.23,Market Competition,Moderate,Grade A (Fresh),2023-04-02
Ajah,Spinach,656.84,Demand Surge,High,Grade B (Average),2023-05-30
Apapa,Oranges,71.77,Government Policies,High,Grade B (Average),2023-01-02
Challenge,Watermelon,1246.6,Pest/Disease Outbreak,High,Grade B (Average),2023-02-27
Iwo Road,Pineapple,354.42,Seasonal Availability,Moderate,Grade C (Below Average),2023-06-19
Oke Bola,Sweet Potatoes,425.75,Government Policies,High,Grade A (Fresh),2023-01-27
Ikorodu,Rice,1011.3,Market Competition,Low,Grade A (Fresh),2024-03-04
Ketu,Lettuce,511.8,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-01-12
Ojodu,Plantain,644.35,Market Competition,High,Grade A (Fresh),2023-09-14
Bashorun,Carrots,360.65,Weather Conditions,Low,Grade A (Fresh),2023-08-02
Ogba,Onions,702.71,Storage Limitations,High,Grade A (Fresh),2024-03-10
Magodo,Maize,549.0,Transportation Cost,Low,Grade B (Average),2023-02-11
Apata,Garlic,2040.96,Market Competition,High,Grade C (Below Average),2024-02-01
Iwo Road,Sweet Potatoes,358.54,Demand Surge,High,Grade B (Average),2023-04-26
Molete,Pepper,1355.66,Storage Limitations,Moderate,Grade C (Below Average),2023-09-18
Mokola,Cabbage,820.97,Demand Surge,High,Grade A (Fresh),2023-09-22
Lekki,Ginger,657.28,Seasonal Availability,Scarce,Grade B (Average),2023-02-06
Eleyele,Yam,1659.1,Fuel Price Hike,High,Grade B (Average),2023-08-20
Ketu,Potatoes,577.89,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-08-22
Jericho,Plantain,428.1,Pest/Disease Outbreak,Low,Grade C (Below Average),2023-02-17
Apapa,Okra,943.54,Government Policies,Moderate,Grade A (Fresh),2024-03-28
Oshodi,Plantain,220.47,Seasonal Availability,High,Grade A (Fresh),2023-07-20
Akobo,Okra,348.53,Market Competition,High,Grade A (Fresh),2023-07-29
Oluyole Estate,Maize,832.87,Seasonal Availability,High,Grade A (Fresh),2023-12-14
Apata,Yam,727.6,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-07-17
UI (University of Ibadan),Lettuce,543.26,Demand Surge,Moderate,Grade A (Fresh),2024-02-09
Apapa,Rice,1205.4,Market Competition,High,Grade B (Average),2023-08-01
Magodo,Oranges,221.32,Market Competition,High,Grade B (Average),2023-07-19
Ikeja,Spinach,402.87,Government Policies,High,Grade B (Average),2024-01-16
Dugbe,Cucumber,431.95,Weather Conditions,High,Grade A (Fresh),2023-02-22
Lekki,Okra,201.38,Weather Conditions,High,Grade A (Fresh),2023-04-19
Jericho,Tomatoes,241.75,Seasonal Availability,High,Grade A (Fresh),2023-02-06
Badagry,Chicken (Live),4840.59,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-05-08
Ologuneru,Mangoes,611.35,Demand Surge,High,Grade A (Fresh),2023-04-03
Ketu,Mangoes,217.4,Pest/Disease Outbreak,High,Grade B (Average),2024-01-31
Ikoyi,Chicken (Live),2698.68,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-01-17
Festac Town,Sweet Potatoes,844.49,Fuel Price Hike,Low,Grade A (Fresh),2023-05-12
Oshodi,Pepper,778.3,Weather Conditions,High,Grade A (Fresh),2023-04-28
Alimosho,Tomatoes,1492.35,Fuel Price Hike,High,Grade A (Fresh),2023-11-11
Oke Ado,Mangoes,383.82,Government Policies,Low,Grade B (Average),2024-03-23
Yaba,Oranges,309.93,Fuel Price Hike,High,Grade A (Fresh),2023-02-22
Challenge,Beans,1024.22,Storage Limitations,High,Grade B (Average),2023-12-13
Akobo,Carrots,724.61,Exchange Rate Fluctuation,Moderate,Grade B (Average),2024-01-14
Sango,Watermelon,547.79,Storage Limitations,Low,Grade A (Fresh),2023-11-09
Lekki,Beans,1634.06,Demand Surge,High,Grade A (Fresh),2024-02-02
Sango,Rice,1615.2,Government Policies,High,Grade C (Below Average),2023-04-09
Sango,Oranges,57.47,Weather Conditions,Moderate,Grade B (Average),2023-06-09
Anthony Village,Onions,519.14,Seasonal Availability,High,Grade A (Fresh),2023-06-24
Oke Bola,Oranges,260.15,Transportation Cost,Moderate,Grade A (Fresh),2023-10-31
Bodija,Sweet Potatoes,670.45,Storage Limitations,Low,Grade B (Average),2023-06-28
Ologuneru,Banana,460.24,Market Competition,Moderate,Grade A (Fresh),2023-11-30
Agodi GRA,Cabbage,271.19,Pest/Disease Outbreak,High,Grade C (Below Average),2023-12-08
Ajah,Beans,1215.19,Market Competition,Scarce,Grade B (Average),2023-05-17
Ajah,Cabbage,335.25,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-07-12
Jericho,Cucumber,202.33,Demand Surge,Scarce,Grade A (Fresh),2024-01-29
Victoria Island (VI),Yam,501.5,Government Policies,High,Grade A (Fresh),2023-06-03
Monatan,Maize,255.09,Storage Limitations,Moderate,Grade A (Fresh),2023-05-17
Orita-Challenge,Plantain,556.9,Storage Limitations,High,Grade A (Fresh),2023-12-27
Ikoyi,Pepper,978.56,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-01-01
Orita-Challenge,Cabbage,468.47,Pest/Disease Outbreak,High,Grade A (Fresh),2024-01-27
Bodija,Maize,700.32,Government Policies,High,Grade C (Below Average),2023-09-14
Mokola,Okra,652.42,Weather Conditions,Moderate,Grade A (Fresh),2023-06-16
Surulere,Onions,786.99,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-10-16
Akobo,Potatoes,449.65,Demand Surge,Low,Grade C (Below Average),2023-09-14
Sango,Sweet Potatoes,765.22,Government Policies,High,Grade A (Fresh),2023-06-17
Ologuneru,Potatoes,766.96,Storage Limitations,Moderate,Grade A (Fresh),2024-03-09
Ketu,Onions,638.44,Demand Surge,Low,Grade B (Average),2023-10-03
Ojodu,Yam,466.43,Market Competition,Moderate,Grade A (Fresh),2023-09-09
Alimosho,Onions,218.77,Government Policies,Moderate,Grade C (Below Average),2023-06-14
Ologuneru,Pepper,866.6,Transportation Cost,Moderate,Grade B (Average),2023-07-13
Ikoyi,Beans,568.39,Pest/Disease Outbreak,High,Grade A (Fresh),2023-09-15
Samonda,Yam,699.42,Seasonal Availability,Moderate,Grade A (Fresh),2023-11-12
Bodija,Fish (Fresh),2676.71,Storage Limitations,High,Grade A (Fresh),2023-09-09
Yaba,Pineapple,358.35,Seasonal Availability,Low,Grade A (Fresh),2023-02-24
Ikorodu,Plantain,413.77,Demand Surge,Moderate,Grade A (Fresh),2024-03-03
Ikorodu,Lettuce,436.82,Seasonal Availability,Moderate,Grade A (Fresh),2024-03-31
UI (University of Ibadan),Cucumber,121.07,Pest/Disease Outbreak,Low,Grade A (Fresh),2024-03-17
Agbowo,Chicken (Live),7606.72,Demand Surge,High,Grade C (Below Average),2023-08-01
Oke Ado,Beans,548.26,Seasonal Availability,High,Grade A (Fresh),2023-09-22
Mokola,Banana,394.68,Demand Surge,Moderate,Grade A (Fresh),2024-02-03
Magodo,Onions,261.03,Demand Surge,High,Grade B (Average),2023-11-15
Jericho,Mangoes,423.51,Government Policies,Moderate,Grade B (Average),2023-05-21
Ogba,Chicken (Live),9264.38,Pest/Disease Outbreak,Low,Grade A (Fresh),2024-02-10
Akobo,Cabbage,150.61,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-07-10
UI (University of Ibadan),Beans,1327.66,Government Policies,Moderate,Grade A (Fresh),2023-04-28
